timestamp,open,high,low,close,volume
1781588160000,66062.0,66100.0,66060.62,66100.0,2.45603
1781588220000,66100.0,66102.0,66062.0,66066.0,7.56048
1781588280000,66066.0,66102.0,66065.99,66102.0,1.87797
1781588340000,66102.0,66118.0,66101.99,66110.0,2.51698
1781588400000,66110.0,66110.01,66098.01,66098.02,3.19197
1781588460000,66098.02,66115.01,66098.01,66115.01,1.33191
1781588520000,66115.01,66115.01,66090.0,66090.0,2.13841
1781588580000,66090.0,66090.0,66064.1,66082.0,4.11468
1781588640000,66082.0,66089.38,66081.99,66089.38,1.60364
1781588700000,66089.38,66150.22,66089.37,66142.56,9.40741
1781588760000,66142.57,66142.57,66122.0,66133.89,11.39136
1781588820000,66133.88,66133.89,66100.0,66100.01,3.36698
1781588880000,66100.0,66100.01,66068.0,66071.99,2.21415
1781588940000,66071.99,66072.0,66060.65,66070.0,2.40306
1781589000000,66070.0,66106.0,66070.0,66101.63,2.68281
1781589060000,66101.63,66124.0,66101.63,66123.99,1.52295
1781589120000,66123.99,66130.0,66110.0,66123.38,3.97948
1781589180000,66123.38,66129.08,66112.36,66112.37,1.82556
1781589240000,66112.37,66112.37,66052.59,66052.59,95.00003
1781589300000,66052.59,66091.02,66052.59,66086.0,99.63042
1781589360000,66086.0,66086.0,66085.99,66085.99,0.90927
1781589420000,66086.0,66086.0,66064.18,66082.42,2.58495
1781589480000,66082.41,66086.0,66082.41,66085.99,0.7694
1781589540000,66086.0,66086.0,66044.99,66045.0,150.81334
1781589600000,66044.99,66086.0,66044.99,66085.99,3.80501
1781589660000,66085.99,66124.0,66082.0,66108.0,6.59917
1781589720000,66107.71,66132.0,66107.7,66129.73,2.79765
1781589780000,66129.73,66156.87,66129.72,66153.62,2.97588
1781589840000,66153.62,66162.0,66128.0,66128.0,3.00617
1781589900000,66128.01,66148.01,66120.0,66129.99,5.58107
1781589960000,66129.99,66148.0,66126.52,66142.0,2.96732
1781590020000,66142.0,66144.01,66112.01,66112.01,2.42049
1781590080000,66112.01,66115.99,66099.16,66115.97,3.66613
1781590140000,66115.98,66177.05,66113.01,66177.05,5.3925
1781590200000,66177.04,66177.05,66146.0,66147.99,6.26653
1781590260000,66147.99,66182.0,66147.99,66182.0,2.21863
1781590320000,66181.99,66190.0,66178.0,66183.99,5.78195
1781590380000,66184.0,66188.0,66183.99,66188.0,1.22705
1781590440000,66188.0,66188.92,66182.0,66188.92,2.61687
1781590500000,66188.91,66188.92,66163.78,66163.79,2.86789
1781590560000,66163.78,66163.79,66154.11,66161.88,1.17073
1781590620000,66161.87,66210.39,66161.87,66210.38,6.14538
1781590680000,66210.39,66246.0,66210.39,66241.79,5.05206
1781590740000,66241.79,66241.8,66238.47,66238.48,1.69624
1781590800000,66238.47,66256.49,66220.0,66232.61,23.67191
1781590860000,66232.6,66232.88,66214.0,66232.87,4.03399
1781590920000,66232.87,66242.0,66232.87,66238.0,3.03805
1781590980000,66238.0,66256.0,66238.0,66256.0,1.76504
1781591040000,66255.99,66256.0,66226.0,66247.01,21.70065
1781591100000,66247.01,66256.94,66247.01,66256.93,1.18541
