timestamp,open,high,low,close,volume
1781561400000,1811.96,1813.39,1809.0,1809.03,392.5332
1781561700000,1809.03,1811.0,1807.99,1809.18,827.7852
1781562000000,1809.18,1809.44,1797.96,1798.24,2532.2524
1781562300000,1798.25,1798.92,1789.2,1792.01,3629.636
1781562600000,1792.01,1795.92,1787.0,1795.09,2156.8436
1781562900000,1795.1,1797.94,1793.86,1795.35,1035.0533
1781563200000,1795.35,1797.95,1792.66,1793.61,1081.7422
1781563500000,1793.6,1794.86,1788.1,1788.95,1761.9701
1781563800000,1788.95,1793.36,1788.59,1790.25,987.561
1781564100000,1790.26,1792.21,1789.68,1789.68,958.0152
1781564400000,1789.69,1790.92,1788.04,1789.78,1590.0032
1781564700000,1789.77,1792.22,1786.77,1789.35,981.53
1781565000000,1789.35,1791.86,1789.35,1790.48,1179.5044
1781565300000,1790.48,1792.15,1786.61,1788.36,910.3409
1781565600000,1788.37,1789.12,1785.46,1786.02,844.5089
1781565900000,1786.02,1792.56,1785.83,1789.66,872.2219
1781566200000,1789.67,1790.13,1786.58,1786.59,844.7523
1781566500000,1786.59,1789.59,1782.82,1788.22,2182.1627
1781566800000,1788.22,1791.5,1787.15,1791.05,567.5799
1781567100000,1791.06,1793.31,1790.67,1791.46,864.074
1781567400000,1791.45,1797.47,1791.45,1795.64,3030.8626
1781567700000,1795.64,1797.58,1795.64,1796.13,1209.1147
1781568000000,1796.14,1796.18,1793.61,1796.11,1808.8154
1781568300000,1796.1,1798.17,1795.23,1797.62,694.8407
1781568600000,1797.62,1799.68,1796.5,1797.2,668.2741
1781568900000,1797.2,1798.51,1796.05,1796.48,468.1731
1781569200000,1796.49,1796.49,1792.63,1792.85,626.752
1781569500000,1792.85,1795.44,1791.44,1792.62,1002.684
1781569800000,1792.62,1796.02,1792.27,1794.58,466.4365
1781570100000,1794.58,1797.08,1793.9,1796.58,409.1949
1781570400000,1796.58,1802.09,1796.58,1798.64,1510.506
1781570700000,1798.63,1798.64,1794.51,1794.52,580.0534
1781571000000,1794.51,1794.94,1792.13,1794.44,677.849
1781571300000,1794.44,1794.69,1789.0,1789.6,948.1848
1781571600000,1789.59,1793.6,1789.13,1793.58,475.4386
1781571900000,1793.57,1795.5,1791.13,1792.6,934.6987
1781572200000,1792.61,1793.79,1791.3,1792.11,404.5961
1781572500000,1792.11,1793.14,1790.67,1791.68,517.8454
1781572800000,1791.69,1795.33,1791.69,1793.48,460.8093
1781573100000,1793.47,1796.46,1792.96,1795.81,477.6327
1781573400000,1795.8,1797.4,1794.88,1795.86,359.8847
1781573700000,1795.86,1796.18,1794.9,1796.1,272.4417
1781574000000,1796.1,1797.08,1795.44,1795.7,273.798
1781574300000,1795.69,1797.42,1795.53,1796.18,378.2151
1781574600000,1796.18,1797.14,1793.93,1794.42,421.754
1781574900000,1794.41,1794.41,1791.49,1792.27,360.7556
1781575200000,1792.26,1794.1,1789.76,1793.12,536.3088
1781575500000,1793.11,1794.07,1791.37,1791.55,251.0672
1781575800000,1791.55,1791.55,1784.12,1784.65,1592.4951
1781576100000,1784.64,1787.24,1782.92,1784.98,716.4519
1781576400000,1784.99,1786.92,1784.35,1785.27,755.2828
1781576700000,1785.26,1786.38,1772.75,1773.43,4107.5232
1781577000000,1773.43,1776.32,1770.82,1771.29,2991.9111
1781577300000,1771.29,1775.0,1768.49,1774.32,2600.6622
1781577600000,1774.32,1775.69,1773.93,1774.67,1230.1899
1781577900000,1774.67,1775.49,1773.47,1774.98,1001.283
1781578200000,1774.98,1774.99,1771.24,1772.24,2062.0587
1781578500000,1772.25,1772.25,1767.4,1770.13,2887.2954
1781578800000,1770.13,1772.28,1768.65,1772.22,1093.9692
1781579100000,1772.23,1774.55,1770.0,1772.46,1624.8575
1781579400000,1772.46,1774.64,1772.45,1774.34,1393.9465
1781579700000,1774.34,1774.67,1771.58,1772.61,999.3848
1781580000000,1772.6,1773.08,1764.84,1773.08,2807.535
1781580300000,1773.08,1780.47,1773.07,1778.07,2270.4945
1781580600000,1778.07,1779.36,1776.8,1777.62,681.7941
1781580900000,1777.62,1779.5,1777.34,1778.9,1096.9769
1781581200000,1778.9,1780.54,1778.51,1780.3,752.6684
1781581500000,1780.3,1780.73,1778.28,1779.06,811.0449
1781581800000,1779.06,1779.51,1777.76,1778.96,624.7623
1781582100000,1778.97,1780.51,1778.48,1779.16,443.0308
1781582400000,1779.16,1780.65,1777.7,1780.42,829.4323
1781582700000,1780.43,1783.32,1779.36,1779.37,1055.9375
1781583000000,1779.37,1780.04,1776.0,1777.02,1042.7848
1781583300000,1777.01,1777.02,1774.17,1774.94,924.3166
1781583600000,1774.94,1774.94,1771.82,1771.82,1475.7815
1781583900000,1771.83,1772.48,1768.36,1768.37,1327.9023
1781584200000,1768.36,1768.36,1760.19,1764.35,3688.0467
1781584500000,1764.36,1766.2,1763.16,1764.76,1417.8353
1781584800000,1764.76,1765.92,1761.31,1763.25,1076.1007
1781585100000,1763.25,1764.18,1760.45,1761.56,1196.3502
1781585400000,1761.57,1762.86,1761.26,1761.42,621.6851
1781585700000,1761.42,1762.84,1758.0,1760.64,3066.3418
1781586000000,1760.65,1766.0,1760.57,1764.46,1490.2183
1781586300000,1764.46,1765.03,1760.79,1763.31,1229.9159
1781586600000,1763.31,1765.82,1762.04,1762.41,1567.7415
1781586900000,1762.41,1765.06,1761.17,1764.53,942.6127
1781587200000,1764.53,1765.9,1763.85,1765.13,611.403
1781587500000,1765.12,1765.68,1763.01,1763.6,1148.8202
1781587800000,1763.6,1764.23,1760.63,1761.02,1180.052
1781588100000,1761.01,1764.33,1761.01,1763.56,439.4865
1781588400000,1763.56,1764.34,1762.11,1762.95,560.5861
1781588700000,1762.95,1764.77,1761.64,1762.83,966.1294
1781589000000,1762.83,1764.58,1761.66,1761.66,601.3442
1781589300000,1761.67,1762.75,1761.46,1762.05,736.5434
1781589600000,1762.06,1764.88,1762.06,1763.84,693.7671
1781589900000,1763.84,1765.2,1762.54,1764.97,586.8983
1781590200000,1764.97,1765.98,1763.92,1765.93,676.927
1781590500000,1765.94,1767.76,1764.51,1767.03,927.937
1781590800000,1767.04,1767.04,1763.82,1764.56,1369.5924
1781591100000,1764.56,1765.03,1764.56,1764.77,47.3806
